chr,start,end,n_hom
1,3478076,3478475,1
1,3478475,3478824,1
1,3478824,3480891,2
1,3480891,3487663,3
1,3487663,3500559,1
1,3500559,3505333,2
1,3505333,3507178,1
1,3507178,3510503,1
1,3510503,3516429,7
1,3516429,3521371,2
1,3521371,3524700,3
1,3524700,3528972,1
1,3528972,3529747,1
1,3529747,3530553,1
1,3530553,3538321,2
1,3538321,3542568,1
1,3542568,3595370,45
1,3595370,3597055,5
1,3597055,3601851,13
1,3601851,3603227,8
1,3603227,3616139,28
1,3616139,3632268,2
1,3632268,3639306,1
1,3639306,3667128,1
1,3667128,3673407,6
1,3673407,3680765,1
1,3680765,3690062,4
1,3690062,3690956,1
1,3690956,3691663,1
1,3691663,3692609,1
1,3692609,3693735,1
1,3693735,3695328,1
1,3695328,3697206,2
1,3697206,3703383,1
1,3703383,3705717,1
1,3705717,3706072,1
1,3706072,3706850,1
1,3706850,3709604,2
1,3709604,3712708,1
1,3712708,3713912,1
1,3713912,3717895,1
1,3717895,3718901,1
1,3718901,3721049,2
1,3721049,3722270,1
1,3722270,3723160,1
1,3723160,3726287,4
1,3726287,3728105,2
1,3728105,3731398,2
1,3731398,3737626,2
1,3737626,3741219,1
1,3741219,3743093,1
1,3743093,3744685,1
1,3744685,3746493,1
1,3746493,3750935,1
1,3750935,3752189,1
1,3752189,3752608,1
1,3752608,3753327,3
1,3753327,3757742,2
1,3757742,3761667,2
1,3761667,3762582,1
1,3762582,3774964,1
1,3774964,3787146,1
1,3787146,3806244,1
1,3806244,3830755,4
1,3830755,3844709,45
1,3844709,3849266,13
1,3849266,3874699,54
1,3874699,3895554,30
1,3895554,3918520,30
1,3918520,3924081,1
1,3924081,3929500,6
1,3929500,3942706,1
1,3942706,3950184,1
1,3950184,3976135,12
1,3976135,4065623,39
1,4065623,4092868,53
1,4092868,4093202,2
1,4093202,4118243,1
1,4118243,4129569,2
1,4129569,4131664,1
1,4131664,4133366,1
1,4133366,4134537,1
1,4134537,4138540,1
1,4138540,4150342,1
1,4150342,4159675,1
1,4159675,4167404,7
1,4167404,4168390,1
1,4168390,4172457,1
1,4172457,4174732,1
1,4174732,4179395,1
1,4179395,4183745,1
1,4183745,4186265,2
1,4186265,4188403,2
1,4188403,4189091,1
1,4189091,4190003,2
1,4190003,4192061,1
1,4192061,4193831,1
1,4193831,4194623,1
1,4194623,4197276,1
1,4197276,4200358,1
1,4200358,4203559,1
1,4203559,4209431,1
1,4209431,4211424,1
1,4211424,4213782,3
1,4213782,4214103,1
1,4214103,4214564,3
1,4214564,4215054,4
1,4215054,4215231,1
1,4215231,4215656,2
1,4215656,4215887,1
1,4215887,4217888,8
1,4217888,4224428,12
1,4224428,4228452,3
1,4228452,4229662,1
1,4229662,4242101,1
1,4242101,4294684,1
1,4294684,4302989,1
1,4302989,4309040,6
1,4309040,4311889,5
1,4311889,4319817,2
1,4319817,4320284,1
1,4320284,4325724,1
1,4325724,4359760,1
1,4359760,4379600,1
1,4379600,4384646,2
1,4384646,4423343,1
1,4423343,4426645,1
1,4426645,4437488,9
1,4437488,4452021,23
1,4452021,4458084,1
1,4458084,4463350,1
1,4463350,4466691,1
1,4466691,4474841,1
1,4474841,4480983,1
1,4480983,4481330,1
1,4481330,4483182,1
1,4483182,4488570,2
1,4488570,4489342,1
1,4489342,4494694,2
1,4494694,4496856,3
1,4496856,4498912,1
1,4498912,4500333,2
1,4500333,4504267,8
1,4504267,4505430,1
1,4505430,4505783,1
1,4505783,4505993,2
1,4505993,4506455,2
1,4506455,4507485,3
1,4507485,4508808,3
1,4508808,4509323,1
1,4509323,4509398,1
1,4509398,4510216,1
1,4510216,4511963,2
1,4511963,4513744,7
1,4513744,4515228,4
1,4515228,4517060,2
1,4517060,4552692,1
1,4552692,4553359,2
1,4553359,4553635,3
1,4553635,4554452,1
1,4554452,4554953,1
1,4554953,4555695,1
1,4555695,4557796,3
1,4557796,4559333,2
1,4559333,4565855,3
1,4565855,4566226,2
1,4566226,4568271,2
1,4568271,4569468,2
1,4569468,4571206,2
1,4571206,4572758,1
1,4572758,4572910,1
1,4572910,4573625,1
1,4573625,4574330,2
1,4574330,4577333,2
1,4577333,4578261,1
1,4578261,4582066,3
1,4582066,4583042,2
1,4583042,4584025,1
1,4584025,4585868,5
1,4585868,4586319,4
1,4586319,4586512,1
1,4586512,4588720,16
1,4588720,4590581,7
1,4590581,4591945,1
1,4591945,4594164,1
1,4594164,4597235,5
1,4597235,4598294,5
1,4598294,4598478,2
1,4598478,4600492,1
1,4600492,4606759,1
1,4606759,4612695,1
1,4612695,4618308,5
1,4618308,4618510,7
1,4618510,4620720,4
1,4620720,4626581,9
1,4626581,4634410,7
1,4634410,4644162,1
1,4644162,4654467,1
1,4654467,4676396,2
1,4676396,4686154,1
1,4686154,4700256,1
1,4700256,4713312,1
1,4713312,4718172,2
1,4718172,4727948,2
1,4727948,4735354,2
1,4735354,4898213,2
1,4898213,4898879,1
1,4898879,4899751,1
1,4899751,4904508,1
1,4904508,4905453,1
1,4905453,4907679,3
1,4907679,4909853,4
1,4909853,4910426,2
1,4910426,4915505,2
1,4915505,4920299,1
1,4920299,4922326,1
1,4922326,4923965,1
1,4923965,4925709,4
1,4925709,4927830,1
1,4927830,4940026,1
1,4940026,4953320,33
1,4953320,4957286,5
1,4957286,4958717,1
1,4958717,4961399,3
1,4961399,4963231,1
1,4963231,4963996,1
1,4963996,4964347,1
1,4964347,4965249,1
1,4965249,4966697,1
1,4966697,4966799,1
1,4966799,4967419,1
1,4967419,4970507,1
1,4970507,4972961,4
1,4972961,4973376,1
1,4973376,4973625,1
1,4973625,4976174,1
1,4976174,4977991,1
1,4977991,4982568,1
1,4982568,4984056,1
1,4984056,4986170,2
1,4986170,4988049,1
1,4988049,4991172,2
1,4991172,4996805,3
1,4996805,4997812,1
1,4997812,5003233,5
1,5003233,5004612,1
1,5004612,5005636,1
1,5005636,5008150,2
1,5008150,5009110,1
1,5009110,5013095,1
1,5013095,5031172,1
1,5031172,5076584,1
1,5076584,5097820,22
1,5097820,5106420,14
1,5106420,5107393,2
1,5107393,5114718,5
1,5114718,5117850,5
1,5117850,5120456,9
1,5120456,5120884,2
1,5120884,5132966,21
1,5132966,5135231,3
1,5135231,5138729,2
1,5138729,5139674,1
1,5139674,5142088,1
1,5142088,5143868,1
1,5143868,5147793,5
1,5147793,5150064,1
1,5150064,5151278,2
1,5151278,5152135,1
1,5152135,5154463,4
1,5154463,5154803,2
1,5154803,5155759,1
1,5155759,5157584,3
1,5157584,5158541,1
1,5158541,5159420,1
1,5159420,5163122,1
1,5163122,5167054,5
1,5167054,5175477,7
1,5175477,5182121,10
1,5182121,5197134,16
1,5197134,5199130,4
1,5199130,5204588,4
1,5204588,5212143,3
1,5212143,5234177,6
1,5234177,5246541,54
1,5246541,5251324,8
1,5251324,5253508,1
1,5253508,5257893,2
1,5257893,5259002,1
1,5259002,5259242,1
1,5259242,5261568,4
1,5261568,5265324,7
1,5265324,5265399,2
1,5265399,5266274,2
1,5266274,5267278,1
1,5267278,5271073,25
1,5271073,5271613,3
1,5271613,5273859,15
1,5273859,5274208,1
1,5274208,5276047,1
1,5276047,5277038,1
1,5277038,5277650,1
1,5277650,5277819,1
1,5277819,5278412,2
1,5278412,5279529,1
1,5279529,5280809,3
1,5280809,5281054,1
1,5281054,5281629,2
1,5281629,5282864,9
1,5282864,5284625,3
1,5284625,5284821,1
1,5284821,5288212,1
1,5288212,5314829,2
1,5314829,5333199,1
1,5333199,5343978,1
1,5343978,5391141,6
1,5391141,5398297,2
1,5398297,5400833,1
1,5400833,5415422,2
1,5415422,5430208,4
1,5430208,5460017,1
1,5460017,5468457,1
1,5468457,5479850,9
1,5479850,5493208,1
1,5493208,5493574,1
1,5493574,5493989,1
1,5493989,5495081,1
1,5495081,5495624,1
1,5495624,5498333,3
1,5498333,5499296,3
1,5499296,5500868,1
1,5500868,5505475,1
1,5505475,5507552,1
1,5507552,5509155,1
1,5509155,5511521,1
1,5511521,5523975,14
1,5523975,5549245,28
1,5549245,5578691,41
1,5578691,5579641,2
1,5579641,5580168,1
1,5580168,5583891,1
1,5583891,5585621,1
1,5585621,5594261,2
1,5594261,5596003,1
1,5596003,5597741,3
1,5597741,5604837,2
1,5604837,5605710,1
1,5605710,5610567,1
1,5610567,5614458,2
1,5614458,5619058,2
1,5619058,5619381,2
1,5619381,5620931,1
1,5620931,5621271,2
1,5621271,5624728,4
1,5624728,5625959,1
1,5625959,5629001,3
1,5629001,5630076,1
1,5630076,5634061,1
1,5634061,5647031,1
1,5647031,5655905,1
1,5655905,5677214,3
1,5677214,5683449,3
1,5683449,5689953,3
1,5689953,5724373,1
1,5724373,5796101,21
1,5796101,5797405,5
1,5797405,5802828,12
1,5802828,5816896,16
1,5816896,5819472,3
1,5819472,5821417,5
1,5821417,5826835,9
1,5826835,5834854,16
1,5834854,5838263,4
1,5838263,5854232,1
1,5854232,5875334,3
1,5875334,5879777,3
1,5879777,5886523,9
1,5886523,5947386,32
1,5947386,5977898,35
1,5977898,5983870,8
1,5983870,6000587,2
1,6000587,6002737,2
1,6002737,6010951,5
1,6010951,6013477,2
1,6013477,6013790,1
1,6013790,6018775,3
1,6018775,6023955,1
1,6023955,6030778,4
1,6030778,6034390,1
1,6034390,6036375,2
1,6036375,6037961,3
1,6037961,6048317,1
1,6048317,6068169,1
1,6068169,6101031,25
1,6101031,6103725,4
1,6103725,6104852,3
1,6104852,6107396,5
1,6107396,6107573,3
1,6107573,6107679,1
1,6107679,6119864,11
1,6119864,6136040,25
1,6136040,6139987,17
1,6139987,6144162,2
1,6144162,6145289,1
1,6145289,6147738,1
1,6147738,6148146,1
1,6148146,6149691,2
1,6149691,6150467,1
1,6150467,6150714,2
1,6150714,6151762,4
1,6151762,6152296,3
1,6152296,6152810,1
1,6152810,6172916,2
1,6172916,6197766,4
1,6197766,6213146,1
1,6213146,6219310,1
1,6219310,6234111,1
1,6234111,6236627,1
1,6236627,6243323,2
1,6243323,6254289,2
1,6254289,6261142,1
1,6261142,6268517,2
1,6268517,6324749,5
1,6324749,6353080,1
1,6353080,6366589,1
1,6366589,6383539,1
1,6383539,6431506,1
1,6431506,6454481,3
1,6454481,6486358,4
1,6486358,6489855,1
1,6489855,6500548,1
1,6500548,6505158,1
1,6505158,6507189,1
1,6507189,6512801,2
1,6512801,6512978,1
1,6512978,6516777,1
1,6516777,6517705,4
1,6517705,6530773,39
1,6530773,6539062,17
1,6539062,6547706,41
1,6547706,6558914,47
1,6558914,6562115,9
1,6562115,6563439,2
1,6563439,6568421,8
1,6568421,6570024,3
1,6570024,6579787,13
1,6579787,6599445,1
1,6599445,6600289,1
1,6600289,6609259,1
1,6609259,6610639,1
1,6610639,6615980,1
1,6615980,6623180,1
1,6623180,6624846,1
1,6624846,6625606,1
1,6625606,6626154,2
1,6626154,6629259,1
1,6629259,6631252,2
1,6631252,6635271,3
1,6635271,6641474,1
1,6641474,6645511,2
1,6645511,6658318,1
1,6658318,6658948,1
1,6658948,6659823,1
1,6659823,6660509,1
1,6660509,6660930,1
1,6660930,6663022,1
1,6663022,6684379,2
1,6684379,6685674,1
1,6685674,6696374,1
1,6696374,6698080,1
1,6698080,6701642,1
1,6701642,6704583,1
1,6704583,6704630,1
1,6704630,6707230,2
1,6707230,6758140,1
1,6758140,6795355,1
1,6795355,6806918,1
1,6806918,6810882,1
1,6810882,6935919,1
1,6935919,6941702,1
1,6941702,6950104,2
1,6950104,6951683,2
1,6951683,6956049,2
1,6956049,6957925,1
1,6957925,6961416,1
1,6961416,6963271,2
1,6963271,6968448,2
1,6968448,6969754,2
1,6969754,6971165,1
1,6971165,6975770,1
1,6975770,6976984,1
1,6976984,7002516,1
1,7002516,7016560,1
1,7016560,7030089,2
1,7030089,7031785,1
1,7031785,7070024,1
1,7070024,7078894,5
1,7078894,7081292,2
1,7081292,7082702,2
1,7082702,7084567,1
1,7084567,7086304,2
1,7086304,7088395,2
1,7088395,7093804,1
1,7093804,7095341,1
1,7095341,7098501,1
1,7098501,7101233,2
1,7101233,7103999,2
1,7103999,7104254,2
1,7104254,7105657,1
1,7105657,7109675,2
1,7109675,7116808,1
1,7116808,7138769,1
1,7138769,7139140,1
1,7139140,7152277,1
1,7152277,7155389,1
1,7155389,7156129,1
1,7156129,7157667,1
1,7157667,7159720,1
1,7159720,7160119,1
1,7160119,7161621,4
1,7161621,7162042,1
1,7162042,7167063,1
1,7167063,7175568,3
1,7175568,7178826,2
1,7178826,7180392,1
1,7180392,7182418,2
1,7182418,7184565,2
1,7184565,7185102,2
1,7185102,7185609,1
1,7185609,7187316,1
1,7187316,7242766,28
1,7242766,7248487,13
1,7248487,7264443,25
1,7264443,7277523,2
1,7277523,7277709,1
1,7277709,7279926,1
1,7279926,7289053,1
1,7289053,7295286,4
1,7295286,7301030,1
1,7301030,7301278,2
1,7301278,7302932,1
1,7302932,7305717,1
1,7305717,7308769,3
1,7308769,7310708,1
1,7310708,7312684,1
1,7312684,7318254,1
1,7318254,7323117,1
1,7323117,7327145,1
1,7327145,7339809,2
1,7339809,7342960,2
1,7342960,7343906,1
1,7343906,7345233,1
1,7345233,7346019,1
1,7346019,7346359,1
1,7346359,7349096,3
1,7349096,7349375,1
1,7349375,7350003,2
1,7350003,7352901,3
1,7352901,7353036,1
1,7353036,7356858,3
1,7356858,7358539,1
1,7358539,7359867,1
1,7359867,7360829,1
1,7360829,7361602,1
1,7361602,7364257,1
1,7364257,7365357,1
1,7365357,7371239,2
1,7371239,7374063,2
1,7374063,7377845,2
1,7377845,7384789,1
1,7384789,7386131,3
1,7386131,7388066,1
1,7388066,7389437,1
1,7389437,7391328,1
1,7391328,7392783,3
1,7392783,7394872,1
1,7394872,7408169,2
1,7408169,7409943,2
1,7409943,7410848,2
1,7410848,7410895,1
1,7410895,7412137,1
1,7412137,7417669,5
1,7417669,7417753,1
1,7417753,7419940,7
1,7419940,7420283,1
1,7420283,7422903,2
1,7422903,7425310,2
1,7425310,7430494,1
1,7430494,7430824,1
1,7430824,7493963,1
1,7493963,7501702,1
1,7501702,7548600,1
1,7548600,7550826,3
1,7550826,7551099,1
1,7551099,7556175,23
1,7556175,7556533,1
1,7556533,7597546,1
1,7597546,7649589,1
1,7649589,7652072,1
1,7652072,7654595,1
1,7654595,7656708,1
1,7656708,7658033,2
1,7658033,7658991,1
1,7658991,7659074,1
1,7659074,7659452,2
1,7659452,7673787,1
1,7673787,7687306,3
1,7687306,7688465,1
1,7688465,7688990,2
1,7688990,7689817,1
1,7689817,7693888,1
1,7693888,7700391,4
1,7700391,7701580,5
1,7701580,7702490,3
1,7702490,7705537,4
1,7705537,7708302,3
1,7708302,7710841,2
1,7710841,7713320,1
1,7713320,7715032,5
1,7715032,7716275,1
1,7716275,7730932,3
1,7730932,7766334,7
1,7766334,7791458,27
1,7791458,7800827,5
1,7800827,7807686,7
1,7807686,7850130,42
1,7850130,7874322,67
1,7874322,7876510,7
1,7876510,7877155,4
1,7877155,7901630,34
1,7901630,7902997,1
1,7902997,7913584,23
1,7913584,7929163,7
1,7929163,7939319,6
1,7939319,7955727,13
1,7955727,8071351,10
1,8071351,8096356,23
1,8096356,8103881,3
1,8103881,8107182,9
1,8107182,8116566,27
1,8116566,8120323,6
1,8120323,8126261,25
1,8126261,8127547,1
1,8127547,8128737,2
1,8128737,8129184,2
1,8129184,8129332,2
1,8129332,8130647,4
1,8130647,8131530,2
1,8131530,8131938,3
1,8131938,8132838,5
1,8132838,8133248,5
1,8133248,8133808,3
1,8133808,8135400,2
1,8135400,8137417,3
1,8137417,8140518,1
1,8140518,8146070,1
1,8146070,8196253,1
1,8196253,8213808,2
1,8213808,8213958,1
1,8213958,8218158,1
1,8218158,8221750,1
1,8221750,8225001,1
1,8225001,8233800,1
1,8233800,8243682,2
1,8243682,8246355,1
1,8246355,8247789,3
1,8247789,8249534,3
1,8249534,8249843,1
1,8249843,8250896,1
1,8250896,8251700,1
1,8251700,8252461,2
1,8252461,8253834,2
1,8253834,8255011,1
1,8255011,8255195,2
1,8255195,8258679,5
1,8258679,8260698,3
1,8260698,8261382,1
1,8261382,8262083,4
1,8262083,8262758,4
1,8262758,8264366,3
1,8264366,8265268,2
1,8265268,8266838,2
1,8266838,8276187,4
1,8276187,8276994,2
1,8276994,8285988,28
1,8285988,8290712,1
1,8290712,8300427,1
1,8300427,8307318,1
1,8307318,8311111,1
1,8311111,8317768,2
1,8317768,8320725,1
1,8320725,8321216,1
1,8321216,8322621,1
1,8322621,8323409,1
1,8323409,8324944,1
1,8324944,8329991,3
1,8329991,8331205,1
1,8331205,8332532,1
1,8332532,8334337,1
1,8334337,8339222,1
1,8339222,8341528,1
1,8341528,8342161,1
1,8342161,8343095,1
1,8343095,8344802,1
1,8344802,8407474,1
1,8407474,8447225,1
1,8447225,8464133,1
1,8464133,8535835,1
1,8535835,8572732,2
1,8572732,8578086,1
1,8578086,8602631,1
1,8602631,8624978,1
1,8624978,8796913,2
1,8796913,8799432,1
1,8799432,8803394,2
1,8803394,8818422,1
1,8818422,8843799,1
1,8843799,8911451,2
1,8911451,8927538,1
1,8927538,8928242,1
1,8928242,8930686,13
1,8930686,8931332,2
1,8931332,8933070,6
1,8933070,8935085,2
1,8935085,8938554,7
1,8938554,8939310,3
1,8939310,8942415,6
1,8942415,8945251,1
1,8945251,8946046,1
1,8946046,8955491,1
1,8955491,8960789,1
1,8960789,8974756,1
1,8974756,8980503,2
1,8980503,8982388,1
1,8982388,8984260,1
1,8984260,8985280,1
1,8985280,8986584,1
1,8986584,8988968,1
1,8988968,8996511,1
1,8996511,8998226,2
1,8998226,8998675,1
1,8998675,9003587,1
1,9003587,9006073,1
1,9006073,9008843,1
1,9008843,9017997,1
1,9017997,9018847,1
1,9018847,9053291,1
1,9053291,9062343,1
1,9062343,9073981,1
1,9073981,9074087,2
1,9074087,9074370,1
1,9074370,9074821,1
1,9074821,9074969,2
1,9074969,9079767,1
1,9079767,9083604,1
1,9083604,9084954,1
1,9084954,9098938,1
1,9098938,9107992,1
1,9107992,9108806,2
1,9108806,9109072,1
1,9109072,9110376,2
1,9110376,9110819,1
1,9110819,9111179,1
1,9111179,9112377,1
1,9112377,9113895,2
1,9113895,9114552,1
1,9114552,9116338,2
1,9116338,9117507,4
1,9117507,9119536,1
1,9119536,9122082,1
1,9122082,9124753,3
1,9124753,9129259,2
1,9129259,9130195,3
1,9130195,9139302,2
1,9139302,9142702,5
1,9142702,9144491,1
1,9144491,9153118,2
1,9153118,9154958,2
1,9154958,9157629,1
1,9157629,9160023,1
1,9160023,9160746,2
1,9160746,9164020,2
1,9164020,9164674,1
1,9164674,9167593,2
1,9167593,9168565,1
1,9168565,9174084,1
1,9174084,9178494,1
1,9178494,9184221,1
1,9184221,9198931,9
1,9198931,9209660,27
1,9209660,9210452,1
1,9210452,9211151,1
1,9211151,9212820,7
1,9212820,9213315,8
